iter	Passed	Remaining
0	1	115
1	2	100
2	3	98
3	3	90
4	4	88
5	5	87
6	6	85
7	7	83
8	8	81
9	9	81
10	9	79
11	10	78
12	11	78
13	12	77
14	13	76
15	14	74
16	15	73
17	15	71
18	16	69
19	17	68
20	17	66
21	18	65
22	19	63
23	19	62
24	20	60
25	21	59
26	21	58
27	22	57
28	22	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	50
36	28	49
37	29	47
38	30	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	40
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	50	21
70	51	20
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	62	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
